11 415 3 61 24 1994 105160
13 0 4 97 7 1997 60321
6 0 4 102 18 2004 82580
15 1613 4 97 6 1998 27319
3 1600 5 116 6 2005 47311
3 338 3 55 6 1990 47238
9 80 4 75 13 2008 44323
8 1596 2 53 11 2000 42436
15 1636 4 93 21 2011 45093
15 0 4 87 6 1996 30804
14 0 6 322 6 2011 92337
2 587 3 70 6 1996 49525
6 568 3 67 24 1991 61066
2 891 5 117 11 2001 72414
7 1370 2 52 6 1995 65539
15 11 4 90 5 2010 34170
13 0 3 60 5 1964 60000
5 676 4 103 11 2004 72730
6 0 2 37 6 1989 63829
10 1414 4 131 33 2008 114277
15 0 4 83 6 2000 25101
9 80 4 76 13 2008 46399
4 239 1 32 6 1990 73349
6 824 3 80 6 1997 58175
6 0 5 105 6 2003 62925
2 0 2 43 9 2014 58219
8 62 4 91 11 2011 44966
2 1395 3 63 6 1994 42200
15 135 4 95 6 2008 31368
2 1728 2 55 11 2013 41130
6 0 2 40 6 1987 75551
9 1803 3 73 20 2006 31990
11 0 3 48 26 2004 133442
5 1091 2 33 6 1995 77380
14 0 4 90 20 2010 49701
9 1698 3 62 25 2014 25698
15 0 8 264 1 2000 25723
15 0 5 102 6 2006 20485
14 99 4 82 12 2000 38787
6 1059 5 100 20 1999 74664
2 273 2 54 14 2010 52757
1 776 2 40 6 2000 59760
13 0 2 45 7 1985 76153
15 1606 3 52 4 2000 30575
12 626 4 96 37 2008 91172
13 572 3 68 6 1991 65445
13 0 3 66 6 2001 71727
9 1706 4 79 11 2014 38359
1 318 3 54 6 2000 79470
13 901 2 50 6 1984 84695
8 792 4 99 24 2006 36257
5 0 4 102 8 2000 66173
8 549 5 245 6 2006 35861
15 0 3 81 21 2014 28013
15 0 4 102 5 2006 30579
13 0 5 135 8 2000 73827
12 0 2 54 6 1995 53045
12 0 2 53 6 1984 64752
8 0 6 176 3 2002 39405
2 0 4 78 6 1997 60355
10 1727 7 325 32 2003 76856
10 0 4 93 19 1999 85260
9 0 4 84 6 1998 49751
7 0 5 120 12 2001 85229
8 0 5 151 3 2010 46314
12 0 2 31 4 1957 142450
15 1601 4 83 6 1993 26410
15 0 5 160 5 2001 25000
3 644 3 66 7 1995 55647
3 1704 4 75 5 2005 46517
2 145 3 58 6 1995 44293
3 36 4 91 3 2005 45786
4 0 4 75 6 1995 78715
14 0 3 67 6 2000 31748
8 405 5 125 6 2004 30643
2 0 4 100 6 1999 52809
6 0 2 52 6 1997 70384
9 1707 5 181 18 2013 36387
3 844 3 45 5 1978 46022
2 359 3 75 6 1993 63232
8 1740 4 43 17 2009 45464
13 0 5 125 6 2001 71976
2 699 5 103 6 1997 49099
1 0 3 65 6 2001 71244
4 0 4 89 6 1995 63924
4 564 2 53 6 1993 66915
5 1089 3 73 26 1995 69102
4 0 2 57 6 1990 71841
5 0 1 30 6 1987 63086
5 0 1 30 6 1987 97560
5 4 5 121 30 2003 77983
8 199 7 102 6 2006 48890
1 247 3 62 6 1995 60557
7 0 4 76 6 1996 81514
9 217 4 78 6 1997 43681
4 1119 3 53 6 1989 81751
6 0 2 29 5 1981 76446
12 0 3 64 29 2010 104215
3 140 3 69 6 1996 35658
11 0 2 71 17 1989 81255
1 513 3 68 6 1997 50423
2 301 3 72 6 2008 39916
11 0 4 115 39 2007 140017
3 0 3 53 6 2000 42425
1 0 4 77 6 1996 45389
6 0 3 65 6 1994 60130
8 15 4 104 14 2009 44184
8 1682 4 89 17 2013 44474
3 17 3 66 7 1995 56586
13 0 2 44 6 1960 66859
13 0 3 76 18 2006 88157
2 359 3 69 6 1993 67983
14 0 3 77 11 2013 33670
3 538 2 41 6 1985 47961
2 1285 4 68 6 1995 55604
8 0 5 135 12 2005 34561
15 1602 5 130 12 2006 38284
10 0 5 107 7 1995 87883
1 0 2 40 7 1989 63523
12 0 4 69 6 1997 53092
8 787 8 261 1 2000 47870
12 0 3 87 24 1997 68563
5 285 5 155 36 2008 93494
14 793 5 127 6 2000 31807
14 0 7 184 6 2000 49782
7 0 4 104 7 2000 74584
6 190 2 39 5 2000 59193
12 0 4 96 6 1997 51813
6 0 5 122 20 2000 78386
2 433 3 77 6 1997 57515
7 0 4 103 12 2000 85312
8 8 4 103 27 2008 43499
9 0 5 144 6 2005 31124
15 0 5 109 20 2000 52293
3 0 4 108 16 2000 60689
1 897 5 138 8 1998 57566
2 115 2 42 6 1991 42823
1 0 4 92 18 2006 73856
11 266 3 83 34 2003 128893
13 0 6 193 23 2001 45480
4 0 3 72 6 1998 62043
8 0 7 230 6 2002 44257
10 0 4 130 25 2002 65749
3 1704 3 75 5 2005 40935
2 872 5 132 12 2000 54537
13 0 4 97 32 2007 96744
6 0 4 78 6 1997 60133
3 267 4 85 5 2007 39664
9 1714 4 79 16 2014 49955
12 0 5 177 5 1999 55077
4 0 3 55 6 1984 127203
14 1677 5 146 4 2007 32872
4 0 5 131 24 1996 64609
10 0 3 58 5 1973 106786
1 0 3 62 4 1989 43290
14 1685 4 90 7 2000 46398
9 0 4 87 6 1995 29421
5 0 2 47 7 1989 73886
7 298 3 89 35 2005 100291
8 1598 3 80 9 2010 38101
8 0 7 338 6 2006 40828
5 0 4 103 18 2005 59689
10 0 3 85 31 2004 73375
1 1236 3 73 6 2006 57283
15 27 4 94 6 1998 30671
15 1604 3 54 19 2000 24074
6 0 5 128 11 2003 70142
7 0 3 59 6 1995 65326
3 222 2 49 6 1994 47783
8 23 4 105 14 2007 49763
6 665 1 32 5 2000 80866
7 0 3 60 6 2000 67389
2 128 3 54 6 1995 55555
