11	415	3	61	24	1994	105160	650
13	0	4	97	7	1997	60321	590
6	0	4	102	18	2004	82580	850
15	1613	4	97	6	1998	27319	265
3	1600	5	116	6	2005	47311	550
3	338	3	55	6	1990	47238	260
9	80	4	75	13	2008	44323	335
8	1596	2	53	11	2000	42436	225
15	1636	4	93	21	2011	45093	420
15	0	4	87	6	1996	30804	268
14	0	6	322	6	2011	92337	2980
2	587	3	70	6	1996	49525	350
6	568	3	67	24	1991	61066	410
2	891	5	117	11	2001	72414	850
7	1370	2	52	6	1995	65539	345
15	11	4	90	5	2010	34170	309
13	0	3	60	5	1964	60000	360
5	676	4	103	11	2004	72730	750
6	0	2	37	6	1989	63829	240
10	1414	4	131	33	2008	114277	1500
15	0	4	83	6	2000	25101	210
9	80	4	76	13	2008	46399	355
4	239	1	32	6	1990	73349	240
6	824	3	80	6	1997	58175	470
6	0	5	105	6	2003	62925	665
2	0	2	43	9	2014	58219	255
8	62	4	91	11	2011	44966	410
2	1395	3	63	6	1994	42200	270
15	135	4	95	6	2008	31368	298
2	1728	2	55	11	2013	41130	230
6	0	2	40	6	1987	75551	305
9	1803	3	73	20	2006	31990	235
11	0	3	48	26	2004	133442	650
5	1091	2	33	6	1995	77380	260
14	0	4	90	20	2010	49701	450
9	1698	3	62	25	2014	25698	160
15	0	8	264	1	2000	25723	680
15	0	5	102	6	2006	20485	210
14	99	4	82	12	2000	38787	320
6	1059	5	100	20	1999	74664	750
2	273	2	54	14	2010	52757	287
1	776	2	40	6	2000	59760	240
13	0	2	45	7	1985	76153	350
15	1606	3	52	4	2000	30575	160
12	626	4	96	37	2008	91172	880
13	572	3	68	6	1991	65445	450
13	0	3	66	6	2001	71727	480
9	1706	4	79	11	2014	38359	305
1	318	3	54	6	2000	79470	432
13	901	2	50	6	1984	84695	430
8	792	4	99	24	2006	36257	360
5	0	4	102	8	2000	66173	680
8	549	5	245	6	2006	35861	880
15	0	3	81	21	2014	28013	228
15	0	4	102	5	2006	30579	312
